               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              0.0293,           0.0065474,                   0,             0.84999,             0.82738,             0.84786,             0.44509,            0.036992,           0.0062077,                   0,            0.007416,            0.007416,            0.007416
                  38,            0.030093,           0.0068323,                   0,             0.86512,             0.82301,              0.8537,             0.44082,            0.037019,           0.0062604,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,            0.028457,           0.0066245,                   0,             0.88344,             0.80531,             0.85103,              0.4215,            0.038025,           0.0062129,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,             0.02813,           0.0065987,                   0,             0.88093,             0.81843,             0.86987,             0.42882,            0.037454,           0.0061411,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,            0.027979,           0.0064822,                   0,             0.90884,             0.84071,             0.89719,             0.44166,            0.036615,           0.0061934,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,            0.027647,           0.0064673,                   0,             0.89371,              0.8185,             0.87479,             0.41691,            0.037246,           0.0063735,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.028402,           0.0066505,                   0,             0.92223,             0.79204,             0.87617,              0.4289,             0.03634,           0.0063521,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.026844,           0.0061631,                   0,             0.89654,              0.8052,             0.86177,             0.41809,            0.038386,           0.0063691,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.027738,           0.0061581,                   0,             0.84998,             0.82743,             0.84378,             0.41007,            0.036633,           0.0063503,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.026009,           0.0063127,                   0,             0.86906,             0.82301,              0.8511,             0.42516,            0.037481,           0.0061895,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.026773,           0.0063906,                   0,             0.89316,             0.81416,             0.86954,             0.43187,            0.036527,           0.0062391,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.026563,           0.0062071,                   0,              0.8765,             0.84956,             0.87786,             0.44579,            0.036865,           0.0062172,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.026085,           0.0062953,                   0,              0.8843,             0.84956,              0.8749,             0.43838,            0.036714,           0.0062271,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,            0.025877,           0.0062172,                   0,             0.91303,             0.83618,             0.85859,             0.42871,            0.037335,           0.0061794,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.026137,           0.0063204,                   0,             0.92909,             0.81416,              0.8591,             0.44012,             0.03694,           0.0062276,                   0,              0.0055,              0.0055,              0.0055
                  52,             0.02631,           0.0060004,                   0,             0.90954,             0.80085,             0.87128,             0.43916,            0.037048,           0.0062202,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.025343,           0.0061694,                   0,             0.85776,             0.85383,             0.87482,             0.43552,            0.036355,           0.0062496,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,            0.025742,           0.0062342,                   0,             0.89075,             0.86726,             0.88661,             0.44497,            0.035532,           0.0063119,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.024048,           0.0058139,                   0,             0.86415,             0.84513,             0.87773,             0.44407,            0.036197,           0.0063181,                   0,            0.004936,            0.004936,            0.004936
                  56,            0.023693,            0.006052,                   0,             0.87664,             0.84956,             0.86928,             0.44131,            0.036253,           0.0063426,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.024125,           0.0060973,                   0,             0.87671,             0.84955,             0.86771,             0.43259,            0.037237,           0.0064893,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,             0.02352,           0.0058814,                   0,             0.89448,             0.86269,             0.89159,             0.45739,            0.036002,           0.0063574,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.024192,           0.0059058,                   0,              0.8785,             0.83184,             0.85773,             0.46019,            0.036006,           0.0062284,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.024277,           0.0057478,                   0,             0.92338,             0.85398,             0.89261,             0.44029,            0.036749,           0.0062389,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.024159,           0.0062465,                   0,             0.91079,             0.85828,             0.88848,             0.43876,             0.03666,           0.0062541,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.023195,           0.0056257,                   0,             0.91344,             0.84052,              0.8889,             0.45138,            0.036079,           0.0061782,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,             0.02329,            0.005715,                   0,              0.9064,             0.85841,              0.8742,             0.43763,            0.036382,           0.0063768,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.023095,           0.0056851,                   0,             0.87869,             0.86726,             0.89388,             0.42137,            0.036833,           0.0064614,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.022155,           0.0056487,                   0,              0.8767,             0.84943,             0.88085,              0.4262,            0.037497,           0.0064635,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.022488,           0.0058125,                   0,             0.86841,             0.87601,             0.89618,             0.43782,            0.037347,           0.0063727,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.021939,           0.0056111,                   0,             0.92682,             0.84063,             0.89843,             0.41903,            0.037789,           0.0063843,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.022199,           0.0058028,                   0,             0.93069,             0.83179,             0.89274,             0.44007,              0.0368,            0.006318,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.021479,           0.0055952,                   0,             0.93326,             0.80531,              0.8793,             0.43543,            0.037426,           0.0064584,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.021815,           0.0055958,                   0,             0.86876,             0.84943,             0.87979,             0.43069,            0.037745,           0.0065543,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.021075,           0.0056681,                   0,             0.91175,             0.82301,             0.88133,             0.43871,            0.037297,           0.0065122,                   0,            0.002855,            0.002855,            0.002855
                  72,            0.021314,            0.005626,                   0,             0.88479,             0.84952,             0.86919,             0.41918,             0.03678,           0.0064944,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.021374,           0.0056712,                   0,             0.87103,             0.86726,             0.88374,             0.44691,            0.036575,           0.0063968,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,            0.020714,           0.0055731,                   0,             0.88377,             0.87611,             0.87897,             0.44741,            0.036633,           0.0064347,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,            0.021005,           0.0055225,                   0,             0.88423,             0.84513,             0.87214,             0.43234,            0.036618,           0.0064718,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,             0.02064,           0.0049832,                   0,             0.87665,             0.84956,             0.87383,             0.43808,            0.036711,           0.0064876,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.020225,           0.0052828,                   0,             0.87491,             0.86726,             0.88724,             0.44752,            0.036935,           0.0064332,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.020277,           0.0054354,                   0,             0.90864,             0.83616,             0.87987,             0.43918,            0.037223,           0.0064019,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,            0.020511,           0.0056071,                   0,             0.89998,             0.83609,             0.88702,             0.44335,            0.036836,           0.0065169,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.019423,           0.0051845,                   0,             0.88339,              0.8715,             0.90907,             0.44505,            0.037214,           0.0064983,                   0,           0.0019443,           0.0019443,           0.0019443
